language,license,rightsHolder,accessRights,datasetID,institutionCode,datasetName,eventDate,country,countryCode,locality,decimalLatitude,decimalLongitude,geodeticDatum,occurrenceID,recordedBy,establishmentMeans,degreeOfEstablishment,scientificName,vernacularName,occurrenceRemarks
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-22,Austria,ISO-3166:,,48.22331238,16.36726379,WGS84,44383,AlienCSI bioblitz,,,Ailanthus altissima,Götterbaum,source: inaturalist
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-22,Austria,ISO-3166:,,48.22720337,16.36055374,WGS84,44388,AlienCSI bioblitz,,,Ailanthus altissima,Götterbaum,source: inaturalist
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-22,Austria,ISO-3166:,,48.22720337,16.36055374,WGS84,44392,AlienCSI bioblitz,,,Ailanthus altissima,Götterbaum,source: inaturalist
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-22,Austria,ISO-3166:,,48.22037125,16.36306953,WGS84,44484,AlienCSI bioblitz,,,Ailanthus altissima,Götterbaum,source: inaturalist
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-22,Austria,ISO-3166:,,48.20867679,16.34597585,WGS84,44085,AlienCSI bioblitz,,,Ailanthus altissima,Götterbaum,source: inaturalist
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-22,Austria,ISO-3166:,,48.22122955,16.36777878,WGS84,44356,AlienCSI bioblitz,,,Ailanthus altissima,Götterbaum,source: inaturalist
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-22,Austria,ISO-3166:,,48.22038651,16.36306572,WGS84,44481,AlienCSI bioblitz,,,Ailanthus altissima,tree-of-heaven,source: inaturalist
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-20,Austria,ISO-3166:,,48.2459205,16.2911154,WGS84,43146,AlienCSI bioblitz,,,Impatiens parviflora,small balsam,source: inaturalist
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-20,Austria,ISO-3166:,,48.20673171,16.41246272,WGS84,43198,AlienCSI bioblitz,,,Impatiens parviflora,small balsam,source: inaturalist
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.077052,2.55611,WGS84,242310482,AlienCSI bioblitz,introduced,,Allium cepa,Ui,source: ObsIdentify
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.0772601,2.5607726,WGS84,242316885,AlienCSI bioblitz,introduced,,Anchusa officinalis,Gewone ossentong,source: ObsIdentify
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.0913226,2.5729938,WGS84,242349479,AlienCSI bioblitz,introduced,,Anchusa officinalis,Gewone ossentong,source: ObsIdentify
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.0772383,2.560952,WGS84,242325577,AlienCSI bioblitz,introduced,,Anchusa officinalis,Gewone ossentong,source: ObsIdentify
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.07728577,2.560857773,WGS84,242321843,AlienCSI bioblitz,introduced,,Anchusa officinalis,Gewone ossentong,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.08908782,2.575109968,WGS84,242310771,AlienCSI bioblitz,introduced,,Anchusa officinalis,Gewone ossentong,source: ObsIdentify
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.08907653,2.57570929,WGS84,242318735,AlienCSI bioblitz,introduced,,Anchusa officinalis,Gewone ossentong,source: ObsIdentify
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.09130833,2.57299667,WGS84,242349490,AlienCSI bioblitz,introduced,,Anchusa officinalis,Gewone ossentong,source: ObsIdentify
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.077118,2.559562,WGS84,242328795,AlienCSI bioblitz,introduced,,Cornus sericea,Canadese kornoelje,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.0771489,2.5595236,WGS84,242374695,AlienCSI bioblitz,introduced,,Cornus sericea,Canadese kornoelje,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.0761605,2.5560563,WGS84,242405218,AlienCSI bioblitz,introduced,,Geranium purpureum,Klein robertskruid,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.07729721,2.560215473,WGS84,242321992,AlienCSI bioblitz,introduced,,Lagurus ovatus,Hazenstaart,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.07720947,2.559715986,WGS84,242328797,AlienCSI bioblitz,introduced,,Lagurus ovatus,Hazenstaart,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.0887652,2.573115,WGS84,242357510,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsIdentify
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.09146118,2.5732588769999998,WGS84,242405103,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.0890805,2.574455,WGS84,242360128,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsIdentify
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.08908463,2.574418783,WGS84,242365016,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.08905411,2.574416161,WGS84,242365017,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.08860779,2.57308197,WGS84,242365018,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.08865356,2.572963715,WGS84,242365019,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.08869171,2.573153973,WGS84,242365020,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.0896759,2.573233604,WGS84,242365021,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.08971024,2.573218584,WGS84,242365024,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.08972931,2.573219299,WGS84,242365025,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.08916855,2.573224783,WGS84,242374255,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.09144974,2.573282957,WGS84,242405100,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.09141922,2.573249102,WGS84,242405098,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.09139633,2.57321167,WGS84,242405096,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.08966446,2.573470116,WGS84,242374261,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.09123993,2.573211193,WGS84,242405093,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.09091949,2.573088408,WGS84,242405089,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.09090042,2.573035002,WGS84,242405087,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.09085846,2.572994709,WGS84,242405086,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.09037399,2.57303524,WGS84,242405072,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.08973694,2.573307037,WGS84,242405055,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.09030151,2.57297945,WGS84,242405070,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.08970642,2.573314905,WGS84,242365028,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.09124756,2.573322058,WGS84,242374325,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.09141922,2.573420048,WGS84,242374338,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.09124756,2.572910786,WGS84,242365041,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.09136581,2.573313475,WGS84,242374334,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.09199905,2.572470903,WGS84,242405119,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.0795856,2.5670289,WGS84,242317656,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsIdentify
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.09033203,2.572318316,WGS84,242365037,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.09156799,2.573152542,WGS84,242405104,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.09031296,2.572390318,WGS84,242365036,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.09123993,2.573298693,WGS84,242374326,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.0896828,2.5733752,WGS84,242355115,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsIdentify
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.08972168,2.573194981,WGS84,242405051,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.09168243,2.57298708,WGS84,242405110,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.09031296,2.57305932,WGS84,242405068,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.0927944,2.5738148,WGS84,242347030,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsIdentify
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.0926102,2.5734158,WGS84,242347309,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsIdentify
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.0917273,2.572291,WGS84,242347718,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsIdentify
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.0916899,2.5720784,WGS84,242347759,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsIdentify
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.0914712,2.5720481,WGS84,242347858,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsIdentify
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.09176803,2.572364266,WGS84,242347861,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsIdentify
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Belgium,ISO-3166:,,51.08961868,2.573411465,WGS84,242405040,AlienCSI bioblitz,introduced,invasive,Berberis aquifolium,Mahonie,source: ObsMapp
